id,survey_id,key,title,description,display_order,created_at
8aeacb7a-b21c-43e1-9cc3-ea2364d1b7b6,f553092d-000f-48eb-802b-7c6f6e6b3989,maternal,Maternal Care,Maternal health service coverage indicators,1,2025-11-27 13:17:23.444477
54c2ae4a-0b9e-41f8-9751-7d52e77fce3b,f553092d-000f-48eb-802b-7c6f6e6b3989,education,Education,Educational attainment and school attendance rates,15,2025-12-07 16:54:01.393343
1cc7c5e1-caf0-471e-8bc8-a6addbd8d0f2,f553092d-000f-48eb-802b-7c6f6e6b3989,food_security,Food Security,Food insecurity prevalence and severity,16,2025-12-07 16:54:01.393343
11153849-8dca-483d-8554-c856929ecd1b,384f1a1c-73df-45bd-86fc-e732b4a9ffec,fever_treatment,Fever & Case Management,Care seeking and treatment for children with fever,3,2025-12-20 09:12:15.981549
96bbab20-ba01-4c02-8bac-384f77f5af67,384f1a1c-73df-45bd-86fc-e732b4a9ffec,outcomes,Disease Outcomes,Prevalence of Malaria and Anaemia in Children,4,2025-12-20 09:12:15.981549
1680c7c7-ddaa-4a20-9511-08200c32b5ed,f553092d-000f-48eb-802b-7c6f6e6b3989,fertility,Fertility,Total and age-specific fertility rates,2,2025-11-27 13:17:24.375078
89c6aa14-b6b7-4ca2-9f10-b91ca4bbba68,f553092d-000f-48eb-802b-7c6f6e6b3989,child_mortality,Child Mortality,Early childhood mortality rates for the 10-year period before the survey,6,2025-11-28 13:18:59.701156
50cd9f6e-66ed-4f40-a3d3-473d91da7417,f553092d-000f-48eb-802b-7c6f6e6b3989,family_planning_extended,Family Planning (Extended),Contraceptive use and family planning indicators,7,2025-11-28 13:18:59.960572
963db290-de46-4cf8-b176-4c3796e0b9cd,f553092d-000f-48eb-802b-7c6f6e6b3989,hiv_aids,HIV/AIDS,"HIV knowledge, testing, and prevention",11,2025-11-28 13:19:00.942242
5edf5532-b607-461c-b647-3e483faa7249,f553092d-000f-48eb-802b-7c6f6e6b3989,vaccination,Vaccination Coverage,Vaccination coverage among children aged 12-23 months,5,2025-11-28 13:18:59.396158
c06af958-770d-4a42-af78-b9ac34b7a5b5,f553092d-000f-48eb-802b-7c6f6e6b3989,child_nutrition,Child Nutrition,Nutritional status of children,17,2025-11-30 19:44:23.724832
1b52b297-5ca6-4f67-bc61-5f612afec830,f553092d-000f-48eb-802b-7c6f6e6b3989,malaria,Malaria Prevention,Malaria control indicators,18,2025-11-30 19:44:23.756554
fe88a151-67cd-4cda-abc9-9a96492562c2,f553092d-000f-48eb-802b-7c6f6e6b3989,domestic_violence,Domestic Violence,Physical and sexual violence against women,14,2025-11-28 13:19:01.684438
e49e7bc5-7cdc-4c5a-b48c-8c09816b9ca2,f553092d-000f-48eb-802b-7c6f6e6b3989,infectious_diseases,Infectious Diseases,"COVID-19, Hepatitis, and other diseases",15,2025-12-01 11:32:48.024417
2615c0f5-b0a0-41fe-8d40-d3200cb09990,c2e2c6f3-c936-4c93-9816-6115c3c6cb8c,maternal,Maternal Care,Maternal Care indicators from NDHS 2018,1,2025-12-07 16:39:54.869744
2a09b531-2029-4a0b-8ff0-00164551abcc,c2e2c6f3-c936-4c93-9816-6115c3c6cb8c,fertility,Fertility,Fertility indicators from NDHS 2018,2,2025-12-07 16:39:54.869744
249bcc55-a760-4a92-a4da-a0674956e922,c2e2c6f3-c936-4c93-9816-6115c3c6cb8c,child_health,Child Health,Child Health indicators from NDHS 2018,3,2025-12-07 16:39:54.869744
3305dc51-bf22-4543-b8fe-e5c0a5b73db6,c2e2c6f3-c936-4c93-9816-6115c3c6cb8c,vaccination,Vaccination Coverage,Vaccination Coverage indicators from NDHS 2018,4,2025-12-07 16:39:54.869744
d742ffcd-6f9f-492b-b8d9-1f5b52691d3f,c2e2c6f3-c936-4c93-9816-6115c3c6cb8c,nutrition,Child Nutrition,Child Nutrition indicators from NDHS 2018,5,2025-12-07 16:39:54.869744
1484fcaf-246d-4c52-ac19-5ebb0c9a5875,c2e2c6f3-c936-4c93-9816-6115c3c6cb8c,family_planning,Family Planning,Family Planning indicators from NDHS 2018,6,2025-12-07 16:39:54.869744
90458d58-634b-4624-be63-6ba01e9fcc41,c2e2c6f3-c936-4c93-9816-6115c3c6cb8c,hiv_aids,HIV/AIDS,HIV/AIDS indicators from NDHS 2018,7,2025-12-07 16:39:54.869744
ab972cdc-0a4e-4099-a77b-cb92ca64cccf,c2e2c6f3-c936-4c93-9816-6115c3c6cb8c,malaria,Malaria,Malaria indicators from NDHS 2018,8,2025-12-07 16:39:54.869744
7ca212df-7e91-4229-8083-95d2e77545cf,c2e2c6f3-c936-4c93-9816-6115c3c6cb8c,water_sanitation,Water & Sanitation,Water & Sanitation indicators from NDHS 2018,9,2025-12-07 16:39:54.869744
9e3975d2-0633-41b1-9629-4a2f2435ff8b,f553092d-000f-48eb-802b-7c6f6e6b3989,household,Household Characteristics,"Housing conditions, electricity access, and clean fuel usage",13,2025-12-07 16:54:01.393343
76cbacbf-71d1-4446-aaf6-7503f1968063,f553092d-000f-48eb-802b-7c6f6e6b3989,demographics,Demographics,"Population structure, age distribution, and dependency ratios",14,2025-12-07 16:54:01.393343
4ab6b32d-2727-4e47-ac45-fef8ff8db89d,f553092d-000f-48eb-802b-7c6f6e6b3989,disability,Disability,Disability prevalence across functional domains and age groups,10,2025-12-07 16:20:51.104707
5701bab7-fdc4-4e2c-8186-182f786a8f92,f553092d-000f-48eb-802b-7c6f6e6b3989,womens_empowerment,Women's Empowerment,"Employment, decision-making, and women's autonomy indicators",12,2025-11-28 13:19:01.180023
a4d8aa4f-774f-469a-b149-5d58f19834d7,f553092d-000f-48eb-802b-7c6f6e6b3989,water_sanitation,Water & Sanitation,Access to safe drinking water and sanitation facilities,12,2025-12-07 16:20:51.104707
2af98a55-5349-41da-a17b-fcf2f528335e,33a6af69-de75-4c5d-a97b-053f6c1194f9,resources,Educational Resources,,4,2025-12-20 14:51:56.850612
cae85b43-53e8-4a7c-9028-351431efb035,33a6af69-de75-4c5d-a97b-053f6c1194f9,access,Educational Access & Barriers,,5,2025-12-20 15:05:46.251116
8c00be64-a4ea-43a7-9ebc-d206515ce757,384f1a1c-73df-45bd-86fc-e732b4a9ffec,demographics,Population Demographics,Household population by age,0,2025-12-19 21:50:33.655193
631b38e3-d5c5-4107-9baf-fb7ed7e42415,384f1a1c-73df-45bd-86fc-e732b4a9ffec,respondent_background,Respondent Background,Education and Literacy of Respondents,1,2025-12-20 07:07:58.286696
292e84d6-81df-4fe7-80b8-7cb0b6c45120,384f1a1c-73df-45bd-86fc-e732b4a9ffec,malaria_prevention,Malaria Prevention,Ownership and Access to ITNs,2,2025-12-20 07:07:58.286696
