id,category_id,key,title,unit,national_value,color,context,analysis,is_trend,is_rate,is_tfr,display_order,created_at,updated_at
a89d163b-4802-42c4-841d-37e2d021d337,8aeacb7a-b21c-43e1-9cc3-ea2364d1b7b6,mh_trends,Trends in Maternal Care,%,,#0f172a,Source: Report Page 26.,"Positive trends are observed across all maternal health indicators. Skilled Birth Attendance improved significantly from 43% in 2018 to 52.4% in 2024, reflecting improved access to obstetric care.",t,f,f,1,2025-11-27 13:17:23.444477,2025-11-27 13:40:45.08277
22f8b62a-bd5c-4cdb-bc9f-d54edd859d69,8aeacb7a-b21c-43e1-9cc3-ea2364d1b7b6,anc,Antenatal Care (4+),%,62.50,#7e22ce,Source: Page 24.,"The <b>South West (88.9%)</b> and <b>South East (86.4%)</b> maintain high ANC coverage. However, the <b>North West (30.1%)</b> indicates that 70% of women in this zone do not receive the recommended number of antenatal visits.",f,f,f,2,2025-11-27 13:17:23.444477,2025-11-27 13:40:45.08277
d010a60a-ad51-42b4-b8f3-77afb9511b46,8aeacb7a-b21c-43e1-9cc3-ea2364d1b7b6,fac_del,Institutional Delivery,%,48.20,#9333ea,Source: Page 24.,"A sharp disparity exists: 90% of births in the <b>South West</b> occur in facilities, compared to only 20% in the <b>North West</b>. This correlates strongly with maternal mortality risks.",f,f,f,3,2025-11-27 13:17:23.444477,2025-11-27 13:40:45.08277
17204447-c7c9-441f-9ec1-7ce16ebdbabc,8aeacb7a-b21c-43e1-9cc3-ea2364d1b7b6,sba,Skilled Birth Attendance,%,52.40,#c026d3,Source: Page 24.,Skilled assistance at delivery is highest in the <b>South West (92.3%)</b>. The low rate in the <b>North West (24.8%)</b> highlights a critical need for more skilled health workers in northern rural communities.,f,f,f,4,2025-11-27 13:17:23.444477,2025-11-27 13:40:45.08277
a892cd2b-1e19-49aa-99f1-53648358bd2a,4ab6b32d-2727-4e47-ac45-fef8ff8db89d,difficulty_walking_or_climbing_steps,Difficulty walking or climbing steps,%,4.10,#8b5cf6,Percentage of population age 5+ with difficulty walking or climbing steps,"Nationally, 4.1% of the population age 5 + have some level of difficulty walking or climbing steps. The prevalence is generally higher in the North Central and North East zones compared to the Southern zones.",f,f,f,5,2025-12-07 16:20:51.104707,2025-12-14 10:57:38.38249
ecd06c7d-2b02-4e34-b96d-5d473968d6ad,5701bab7-fdc4-4e2c-8186-182f786a8f92,men_financial_inclusion,Men Financial Inclusion,%,57.00,#06b6d4,Percentage of men who use bank accounts or mobile money,"Nationally, 57% of men who use bank accounts or mobile money. There are significant regional disparities, generally with higher rates in the South compared to the North.",f,f,f,7,2025-12-07 16:20:51.104707,2025-12-14 10:57:38.38249
a5897198-970f-447d-a64f-cde717a641e1,5701bab7-fdc4-4e2c-8186-182f786a8f92,women_decision_making,Women Participate in Household Decisions,%,36.00,#f59e0b,Percentage of married women who participate in all three household decisions,"Nationally, 36% of married women who participate in all three household decisions. There are significant regional disparities, generally with higher rates in the South compared to the North.",f,f,f,8,2025-12-07 16:20:51.104707,2025-12-14 10:57:38.38249
21ac59c8-b862-42c8-80a7-a36dd2a7675a,a4d8aa4f-774f-469a-b149-5d58f19834d7,basic_drinking_water,Access to Basic Drinking Water,%,70.50,#06b6d4,Percentage of population with at least basic drinking water service,"At the national level, 70.5% of the population has with at least basic drinking water service. Access levels are generally better in urban areas and Southern zones compared to rural areas and Northern zones.",f,f,f,1,2025-12-07 16:20:51.104707,2025-12-14 10:57:38.38249
7d693fb7-e130-436a-8552-7a7f06266379,1680c7c7-ddaa-4a20-9511-08200c32b5ed,teen_preg,Teenage Pregnancy,%,14.80,#db2777,"Source: Table 5, Page 14. Percentage of women age 15-19 who have ever been pregnant.","Nationally, <b>15% of teenage women</b> have ever been pregnant. The rate is highest in the <b>North West (22.5%)</b> and lowest in the <b>South East (5.2%)</b>. State variations are significant, ranging from <b>2.6% in Edo</b> to <b>31.6% in Kebbi</b>.",f,f,f,4,2025-11-27 13:40:45.771787,2025-11-27 14:49:18.721751
3fae818b-d2e5-4648-bf3c-851f0f3aecb6,a4d8aa4f-774f-469a-b149-5d58f19834d7,improved_water_source,Improved Water Source,%,75.60,#3b82f6,Percentage of population using an improved drinking water source,"At the national level, 75.6% of the population has using an improved drinking water source. Access levels are generally better in urban areas and Southern zones compared to rural areas and Northern zones.",f,f,f,2,2025-12-07 16:20:51.104707,2025-12-14 10:57:38.38249
