id,indicator_id,zone,value,created_at
4cbe86f4-d011-4fd0-b6bb-0a9f13a059e5,e6fad537-8ae5-4c56-9739-de95ea5966bb,North Central,63.50,2025-12-21 13:40:11.864489
359883ca-2983-4146-ad81-edc04af561f0,e6fad537-8ae5-4c56-9739-de95ea5966bb,North East,65.20,2025-12-21 13:40:11.866736
2739cbc8-fb93-4c5d-88c5-3fe25fcc68b1,e6fad537-8ae5-4c56-9739-de95ea5966bb,North West,65.80,2025-12-21 13:40:11.869322
4f4566ae-ecd7-4767-be59-d410f8134780,e6fad537-8ae5-4c56-9739-de95ea5966bb,South East,85.50,2025-12-21 13:40:11.871811
eb89bf32-16bd-43f4-85d9-03ad1ab1205b,e6fad537-8ae5-4c56-9739-de95ea5966bb,South South,84.20,2025-12-21 13:40:11.874461
160d9839-7e14-4c9c-b8c1-26e7f25f596f,e6fad537-8ae5-4c56-9739-de95ea5966bb,South West,91.30,2025-12-21 13:40:11.876538
3087ed1c-db1c-4e3a-91b3-66717460e7f3,bced16e2-3079-4353-9fbf-151744e8c7c3,North Central,35.80,2025-12-21 13:40:11.883128
d39efbe0-2491-4a98-80fd-efb550d700c6,bced16e2-3079-4353-9fbf-151744e8c7c3,North East,33.30,2025-12-21 13:40:11.885734
6748b6b6-f3b8-406d-9f30-9c306610ff10,bced16e2-3079-4353-9fbf-151744e8c7c3,North West,49.40,2025-12-21 13:40:11.887813
0c3fdf21-a3c9-4fe3-a82e-5d1f6b20e9d9,bced16e2-3079-4353-9fbf-151744e8c7c3,South East,44.50,2025-12-21 13:40:11.890122
a14c8275-25b6-4288-8189-52b870cf8273,bced16e2-3079-4353-9fbf-151744e8c7c3,South South,52.70,2025-12-21 13:40:11.892588
09d7c3ea-7b14-4add-bcea-d96adc7c5ddf,bced16e2-3079-4353-9fbf-151744e8c7c3,South West,48.40,2025-12-21 13:40:11.894961
c9a3fd3a-682e-42eb-96fb-5f49a54cc3a2,d61cac76-1972-4c8c-92f1-a9243464afab,North Central,12.90,2025-12-21 13:40:11.915751
0fe40698-0aaa-447d-b662-59cd1abee61b,d61cac76-1972-4c8c-92f1-a9243464afab,North East,37.90,2025-12-21 13:40:11.918166
571b19ca-efa1-4bac-a8cd-f46f820f4eab,d61cac76-1972-4c8c-92f1-a9243464afab,North West,30.60,2025-12-21 13:40:11.920339
a19645dc-dc94-4938-a002-7e9458fccdc0,d61cac76-1972-4c8c-92f1-a9243464afab,South East,2.40,2025-12-21 13:40:11.922158
9d1aebab-971d-44ee-b507-02419c18782e,d61cac76-1972-4c8c-92f1-a9243464afab,South South,2.60,2025-12-21 13:40:11.924237
88522483-cd10-4fb6-9d41-64d144b7e3f7,d61cac76-1972-4c8c-92f1-a9243464afab,South West,3.00,2025-12-21 13:40:11.925876
0d824481-67b9-449c-a010-d274f6af874f,9259a34d-6c95-4a00-914a-bf7e81124f9a,North Central,16.40,2025-12-21 13:40:11.811618
a78d585b-14c4-454a-89fa-d9e479eab8ca,9259a34d-6c95-4a00-914a-bf7e81124f9a,North East,16.60,2025-12-21 13:40:11.814149
960c6fa7-a8e0-4828-8090-5cf36c16c232,9259a34d-6c95-4a00-914a-bf7e81124f9a,North West,33.40,2025-12-21 13:40:11.816471
0970e406-1440-43a5-a5ad-bf176227f0cf,9259a34d-6c95-4a00-914a-bf7e81124f9a,South East,7.70,2025-12-21 13:40:11.819155
2992c4fb-5321-4621-9897-f475022416c0,9259a34d-6c95-4a00-914a-bf7e81124f9a,South South,12.00,2025-12-21 13:40:11.821884
abfb3fd4-150f-40c3-9cc4-f8bea99e1ba3,9259a34d-6c95-4a00-914a-bf7e81124f9a,South West,14.00,2025-12-21 13:40:11.824417
01a4e519-c3db-4ca8-8dd0-74ea45189cea,045d35bb-0f45-419d-9ad3-713b4636c980,North Central,32.70,2025-12-21 13:40:12.123869
216dd4d7-4acc-4b22-9e86-8877a1e06228,045d35bb-0f45-419d-9ad3-713b4636c980,North East,57.60,2025-12-21 13:40:12.125673
b54d0036-107b-44c4-8d1b-bb2bd1758c45,045d35bb-0f45-419d-9ad3-713b4636c980,North West,55.60,2025-12-21 13:40:12.127708
2982c70f-880b-4c17-9e2d-cce6f850312d,045d35bb-0f45-419d-9ad3-713b4636c980,South East,2.80,2025-12-21 13:40:12.129417
4340285b-70ba-484e-8eed-612114f749ff,045d35bb-0f45-419d-9ad3-713b4636c980,South South,6.80,2025-12-21 13:40:12.131443
418856f3-55e6-4e9c-b708-f36085a3758c,045d35bb-0f45-419d-9ad3-713b4636c980,South West,8.00,2025-12-21 13:40:12.133369
083f55fd-ab60-47bb-92cc-8462c4454355,fa7b3543-b32f-4db8-8c3b-ec06367cd89f,North Central,19.60,2025-12-21 13:40:12.230541
bbadc343-4c36-4790-9c1f-7ece89d06ec0,fa7b3543-b32f-4db8-8c3b-ec06367cd89f,North East,46.00,2025-12-21 13:40:12.232374
52ebea9f-98f9-4ae5-afd8-5637f6783c7b,fa7b3543-b32f-4db8-8c3b-ec06367cd89f,North West,65.70,2025-12-21 13:40:12.234392
3759e307-626a-40a3-a7ee-24134b8b011b,fa7b3543-b32f-4db8-8c3b-ec06367cd89f,South East,2.70,2025-12-21 13:40:12.236911
9f7e1ec0-f851-4094-b4c5-ee4d99abab8e,fa7b3543-b32f-4db8-8c3b-ec06367cd89f,South South,10.90,2025-12-21 13:40:12.23931
b8db6661-a995-42af-a74d-2b7d7b477a8d,fa7b3543-b32f-4db8-8c3b-ec06367cd89f,South West,1.90,2025-12-21 13:40:12.241078
ee495461-a584-473b-aed4-fcf41fd420a3,920ddc88-7081-47e0-a880-a3623f5cc83d,North Central,13.70,2025-12-21 13:40:12.307841
4524ec35-4e1f-4d39-b3ff-ba6b1b244405,920ddc88-7081-47e0-a880-a3623f5cc83d,North East,7.30,2025-12-21 13:40:12.309593
b06950d6-5b97-4b8f-8147-8bf2b18e38b5,920ddc88-7081-47e0-a880-a3623f5cc83d,North West,4.90,2025-12-21 13:40:12.311662
3e810538-1ef8-4383-9bae-5518f8734377,920ddc88-7081-47e0-a880-a3623f5cc83d,South East,18.40,2025-12-21 13:40:12.313422
1ada1ffc-9ed4-4d39-8194-5da990b5db2c,920ddc88-7081-47e0-a880-a3623f5cc83d,South South,21.60,2025-12-21 13:40:12.315344
59aa25b1-30cc-4d5e-8008-f9dff5102d6d,920ddc88-7081-47e0-a880-a3623f5cc83d,South West,27.20,2025-12-21 13:40:12.317329
33c21ec8-4e79-4ec7-a8a3-e984cd9c1a17,38ec91ae-b85a-4232-be9e-f4be84c4032f,North Central,9.10,2025-12-21 13:40:12.423332
0ceaf295-15a4-4485-a5a4-cfc88ee248cc,38ec91ae-b85a-4232-be9e-f4be84c4032f,North East,2.40,2025-12-21 13:40:12.425543
a2cc1918-521b-4d25-bb8f-9a400b65f851,38ec91ae-b85a-4232-be9e-f4be84c4032f,North West,3.80,2025-12-21 13:40:12.427431
559fb56c-c001-4ca4-9425-9c3cc88f46a4,38ec91ae-b85a-4232-be9e-f4be84c4032f,South East,16.50,2025-12-21 13:40:12.429259
606e12c7-c0e5-43b4-ae28-b9a98fcc82ff,38ec91ae-b85a-4232-be9e-f4be84c4032f,South South,9.10,2025-12-21 13:40:12.431166
3616a4d5-0a6a-4c48-830d-2b6b770b78d0,38ec91ae-b85a-4232-be9e-f4be84c4032f,South West,11.40,2025-12-21 13:40:12.433195
ba354b90-22db-41d9-b1bd-07cc7b659a12,9f3575c2-3a14-4724-b50a-466ca55f5a55,North Central,64.60,2025-12-21 13:40:12.439281
02220eb9-59e1-498c-bdee-62923f9ce5a2,9f3575c2-3a14-4724-b50a-466ca55f5a55,North West,40.60,2025-12-21 13:40:12.442898
a7cbe0a8-2168-4d6e-8a80-8375aed923ad,9f3575c2-3a14-4724-b50a-466ca55f5a55,South East,75.60,2025-12-21 13:40:12.44513
71b0f0bf-fc99-4f29-b4de-62be4842be6d,9f3575c2-3a14-4724-b50a-466ca55f5a55,South South,72.40,2025-12-21 13:40:12.447328
